MD (m RKB),Inc (deg),Azim (deg),TVD (m RKB),X-Offset (m),Y-Offset (m),UTM E/W (m),UTM N/S (m),DLS (deg/30m),WELL_NAME
1867,28.14,143.47,1796.87,-71.042,-348.659,434979.004,6478214.985,0.33,15-9-F-15-B
1907,27.08,143.1,1832.31,-59.96,-363.52,434990.081,6478200.13,0.81,15-9-F-15-B
1948,27.31,143.53,1868.78,-48.766,-378.547,435001.271,6478185.108,0.22,15-9-F-15-B
1988,27.71,143.72,1904.26,-37.809,-393.423,435012.225,6478170.237,0.31,15-9-F-15-B
2028,27.86,145,1939.64,-26.945,-408.576,435023.085,6478155.089,0.46,15-9-F-15-B
2069,27.42,149.82,1975.97,-16.703,-424.586,435033.324,6478139.085,1.67,15-9-F-15-B
2109,26.74,154.96,2011.59,-8.263,-440.703,435041.761,6478122.973,1.83,15-9-F-15-B
2149,25.09,162.89,2047.58,-1.957,-456.968,435048.065,6478106.714,2.88,15-9-F-15-B
2190,24.05,170.43,2084.87,1.991,-473.519,435052.011,6478090.169,2.42,15-9-F-15-B
2230,24.4,174.59,2121.35,4.125,-489.783,435054.145,6478073.911,1.31,15-9-F-15-B
2270,23.87,181.76,2157.87,4.656,-506.101,435054.675,6478057.598,2.23,15-9-F-15-B
2311,24.72,188.97,2195.24,3.064,-522.865,435053.084,6478040.84,2.26,15-9-F-15-B
2351,25.05,194.2,2231.53,-0.318,-539.338,435049.703,6478024.373,1.67,15-9-F-15-B
2392,25.95,202.77,2268.55,-5.921,-556.03,435044.102,6478007.687,2.78,15-9-F-15-B
2432,27.22,209.99,2304.33,-13.883,-572.028,435036.142,6477991.694,2.6,15-9-F-15-B
2486,28.73,219.32,2352.04,-28.288,-592.776,435021.743,6477970.953,2.57,15-9-F-15-B
2513,30.35,223.67,2375.54,-37.112,-602.732,435012.922,6477961.001,2.99,15-9-F-15-B
2544.3,32.21,227.05,2402.29,-48.68,-614.138,435001.358,6477949.599,2.45,15-9-F-15-B
2584.6,36.06,231.49,2435.64,-65.832,-628.849,434984.212,6477934.893,3.41,15-9-F-15-B
2624.91,39.18,235.66,2467.57,-85.637,-643.425,434964.414,6477920.323,3,15-9-F-15-B
2665.26,41.67,241.21,2498.3,-107.927,-657.081,434942.131,6477906.671,3.25,15-9-F-15-B
2705.63,43.76,244.74,2527.96,-132.32,-669.504,434917.747,6477894.252,2.36,15-9-F-15-B
2745.99,46.14,249.81,2556.53,-158.612,-680.487,434891.464,6477883.273,3.2,15-9-F-15-B
2786.36,48.79,250.79,2583.82,-186.616,-690.509,434863.469,6477873.255,2.04,15-9-F-15-B
2826.7,51.38,251.73,2609.7,-215.915,-700.444,434834.181,6477863.323,2,15-9-F-15-B
2867.05,51.74,251.02,2634.79,-245.864,-710.538,434804.242,6477853.233,0.49,15-9-F-15-B
2907.38,49.19,251.75,2660.46,-275.337,-720.469,434774.78,6477843.305,1.94,15-9-F-15-B
2947.73,49.52,257.15,2686.75,-304.813,-728.667,434745.314,6477835.11,3.06,15-9-F-15-B
2988.07,50.68,263.14,2712.64,-335.28,-733.946,434714.857,6477829.833,3.52,15-9-F-15-B
3028.4,52.73,265.32,2737.64,-366.768,-737.119,434683.381,6477826.661,1.99,15-9-F-15-B
3068.7,57.54,267.07,2760.67,-399.75,-739.298,434650.41,6477824.483,3.74,15-9-F-15-B
3109.03,59.86,268.74,2781.62,-434.184,-740.551,434615.988,6477823.23,2.03,15-9-F-15-B
3149.35,60.21,270.16,2801.76,-469.111,-740.886,434581.073,6477822.895,0.95,15-9-F-15-B
3158.94,59.52,269.88,2806.57,-477.405,-740.883,434572.782,6477822.898,2.29,15-9-F-15-B
3194.82,59.29,272.22,2824.84,-508.281,-740.318,434541.916,6477823.463,1.7,15-9-F-15-B
3234.92,54.92,274.74,2846.61,-541.879,-738.293,434508.331,6477825.487,3.63,15-9-F-15-B
3274.52,53.75,278.21,2869.71,-573.838,-734.673,434476.383,6477829.106,2.31,15-9-F-15-B
3315.03,51.13,279.7,2894.4,-605.556,-729.682,434444.675,6477834.095,2.13,15-9-F-15-B
3355.78,50.7,280.07,2920.09,-636.717,-724.253,434413.525,6477839.523,0.38,15-9-F-15-B
3396.46,48.09,281.46,2946.57,-667.056,-718.492,434383.197,6477845.281,2.08,15-9-F-15-B
3436.37,46.32,282.43,2973.68,-695.706,-712.434,434354.557,6477851.337,1.43,15-9-F-15-B
3476.85,44.43,281.71,3002.11,-723.878,-706.407,434326.395,6477857.362,1.45,15-9-F-15-B
3497,44.43,281.71,3016.5,-737.69,-703.544,434312.588,6477860.224,0,15-9-F-15-B
145.9,0,0,145.9,3.532,-3.169,435053.552,6478560.355,0,15-9-F-15-C
153.4,0.15,253.69,153.4,3.523,-3.172,435053.542,6478560.352,0.6,15-9-F-15-C
234.2,0.28,146.02,234.2,3.532,-3.365,435053.551,6478560.159,0.13,15-9-F-15-C
274.6,0.78,136.21,274.6,3.777,-3.646,435053.797,6478559.879,0.38,15-9-F-15-C
315,1.46,128.29,314.99,4.371,-4.163,435054.391,6478559.361,0.52,15-9-F-15-C
355.3,3.41,124.07,355.25,5.767,-5.153,435055.786,6478558.372,1.46,15-9-F-15-C
395.7,5.13,126.98,395.54,8.206,-6.912,435058.224,6478556.613,1.29,15-9-F-15-C
436.1,5.52,139.07,435.76,10.921,-9.467,435060.939,6478554.059,0.88,15-9-F-15-C
474.4,5.62,152.33,473.89,12.999,-12.52,435063.016,6478551.008,1.01,15-9-F-15-C
514.8,6.19,163.05,514.07,14.553,-16.355,435064.569,6478547.173,0.92,15-9-F-15-C
557.1,7.03,171.79,556.09,15.588,-21.099,435065.603,6478542.431,0.93,15-9-F-15-C
597.5,7.74,174.05,596.16,16.223,-26.252,435066.238,6478537.28,0.57,15-9-F-15-C
637.8,8.49,174.54,636.05,16.787,-31.912,435066.802,6478531.622,0.56,15-9-F-15-C
678.2,8.94,175.57,675.99,17.313,-38.011,435067.328,6478525.525,0.35,15-9-F-15-C
718.5,9.34,177.45,715.77,17.701,-44.4,435067.715,6478519.139,0.37,15-9-F-15-C
758.9,10.22,185.51,755.59,17.502,-51.243,435067.517,6478512.298,1.21,15-9-F-15-C
799.3,11.89,193.59,795.24,16.18,-58.857,435066.195,6478504.687,1.69,15-9-F-15-C
839.7,13.68,199.13,834.64,13.636,-67.417,435063.652,6478496.13,1.61,15-9-F-15-C
880,15.14,201.54,873.67,10.142,-76.815,435060.159,6478486.735,1.17,15-9-F-15-C
920.4,13.72,203.3,912.79,6.31,-86.123,435056.328,6478477.43,1.1,15-9-F-15-C
960.8,14.53,201.31,951.97,2.573,-95.245,435052.593,6478468.311,0.7,15-9-F-15-C
1001.1,16.51,200.62,990.8,-1.281,-105.315,435048.74,6478458.245,1.48,15-9-F-15-C
1041.6,16.33,201.19,1029.65,-5.366,-116.01,435044.657,6478447.554,0.18,15-9-F-15-C
1081.9,16.18,205.25,1068.34,-9.809,-126.371,435040.215,6478437.196,0.85,15-9-F-15-C
1122.3,17.54,211.88,1107.01,-15.426,-136.633,435034.6,6478426.938,1.75,15-9-F-15-C
1162.6,17.66,221.21,1145.43,-22.662,-146.39,435027.367,6478417.184,2.1,15-9-F-15-C
1203,16.05,230.28,1184.1,-30.997,-154.571,435019.035,6478409.006,2.29,15-9-F-15-C
1243.3,15.33,232.77,1222.9,-39.524,-161.354,435010.511,6478402.225,0.73,15-9-F-15-C
1283.8,18.17,237.03,1261.68,-49.087,-168.032,435000.951,6478395.55,2.29,15-9-F-15-C
1324.1,21.21,241.08,1299.62,-60.743,-174.978,434989.299,6478388.606,2.48,15-9-F-15-C
1364.5,24.71,243.03,1336.81,-74.67,-182.344,434975.377,6478381.242,2.66,15-9-F-15-C
1383,26.95,242.95,1353.46,-81.85,-186.005,434968.199,6478377.583,3.63,15-9-F-15-C
1406,25.71,234.7,1374.08,-90.567,-191.26,434959.485,6478372.329,5.04,15-9-F-15-C
1445,24.44,222.89,1409.43,-102.971,-202.067,434947.086,6478361.527,3.97,15-9-F-15-C
1487,21.59,210.72,1448.1,-112.839,-215.086,434937.221,6478348.512,3.95,15-9-F-15-C
1544,20.56,192.78,1501.35,-120.418,-233.882,434929.645,6478329.722,3.43,15-9-F-15-C
1584,21.08,181.1,1538.75,-122.111,-247.93,434927.953,6478315.679,3.13,15-9-F-15-C
1625,21.07,170.97,1577.02,-121.095,-262.586,434928.968,6478301.029,2.66,15-9-F-15-C
1665,20.92,159.85,1614.38,-117.505,-276.396,434932.556,6478287.223,2.99,15-9-F-15-C
1705,22.16,151.36,1651.59,-111.428,-289.725,434938.632,6478273.899,2.51,15-9-F-15-C
1746,24.79,147.7,1689.2,-103.127,-303.78,434946.93,6478259.849,2.2,15-9-F-15-C
1786,27.24,144.45,1725.15,-93.321,-318.32,434956.732,6478245.314,2.13,15-9-F-15-C
1827,27.7,143.46,1761.52,-82.192,-333.61,434967.858,6478230.029,0.47,15-9-F-15-C
1867,28.14,143.47,1796.87,-71.042,-348.659,434979.004,6478214.985,0.33,15-9-F-15-C
1907,27.08,143.1,1832.31,-59.96,-363.52,434990.081,6478200.13,0.81,15-9-F-15-C
1948,27.31,143.53,1868.78,-48.766,-378.547,435001.271,6478185.108,0.22,15-9-F-15-C
1988,27.71,143.72,1904.26,-37.809,-393.423,435012.225,6478170.237,0.31,15-9-F-15-C
2028,27.86,145,1939.64,-26.945,-408.576,435023.085,6478155.089,0.46,15-9-F-15-C
2069,27.42,149.82,1975.97,-16.703,-424.586,435033.324,6478139.085,1.67,15-9-F-15-C
2109,26.74,154.96,2011.59,-8.263,-440.703,435041.761,6478122.973,1.83,15-9-F-15-C
2149,25.09,162.89,2047.58,-1.957,-456.968,435048.065,6478106.714,2.88,15-9-F-15-C
2190,24.05,170.43,2084.87,1.991,-473.519,435052.011,6478090.169,2.42,15-9-F-15-C
2230,24.4,174.59,2121.35,4.125,-489.783,435054.145,6478073.911,1.31,15-9-F-15-C
2270,23.87,181.76,2157.87,4.656,-506.101,435054.675,6478057.598,2.23,15-9-F-15-C
2311,24.72,188.97,2195.24,3.064,-522.865,435053.084,6478040.84,2.26,15-9-F-15-C
2351,25.05,194.2,2231.53,-0.318,-539.338,435049.703,6478024.373,1.67,15-9-F-15-C
2392,25.95,202.77,2268.55,-5.921,-556.03,435044.102,6478007.687,2.78,15-9-F-15-C
2432,27.22,209.99,2304.33,-13.883,-572.028,435036.142,6477991.694,2.6,15-9-F-15-C
2486,28.73,219.32,2352.04,-28.288,-592.776,435021.743,6477970.953,2.57,15-9-F-15-C
2513,30.35,223.67,2375.54,-37.112,-602.732,435012.922,6477961.001,2.99,15-9-F-15-C
2563.48,33.26,229.77,2418.44,-56.496,-620.906,434993.545,6477942.833,2.58,15-9-F-15-C
2603.8,32.08,231.01,2452.38,-73.26,-634.784,434976.787,6477928.96,1.01,15-9-F-15-C
2644.15,27.57,233.84,2487.38,-89.136,-647.042,434960.916,6477916.706,3.51,15-9-F-15-C
2684.45,25.99,233.83,2523.36,-103.795,-657.757,434946.262,6477905.995,1.18,15-9-F-15-C
2724.77,22.08,234.57,2560.17,-117.106,-667.368,434932.955,6477896.387,2.92,15-9-F-15-C
2765.09,16.67,243.57,2598.21,-128.471,-674.342,434921.595,6477889.416,4.59,15-9-F-15-C
2803.11,13.75,248.58,2634.89,-137.563,-678.42,434912.506,6477885.339,2.52,15-9-F-15-C
2852,11.69,248.05,2682.58,-147.567,-682.394,434902.506,6477881.367,1.27,15-9-F-15-C
2892.4,12.47,247.23,2722.08,-155.385,-685.612,434894.69,6477878.15,0.59,15-9-F-15-C
2939.74,12.77,250.95,2768.28,-165.043,-689.298,434885.035,6477874.465,0.55,15-9-F-15-C
2969.76,13.62,261.5,2797.51,-171.676,-690.904,434878.405,6477872.86,2.55,15-9-F-15-C
2997.14,15.39,260.2,2824.02,-178.445,-691.999,434871.638,6477871.765,1.97,15-9-F-15-C
3038.44,18.98,261.37,2863.47,-190.489,-693.94,434859.598,6477869.825,2.62,15-9-F-15-C
3078.27,19.82,259.28,2901.04,-203.528,-696.168,434846.564,6477867.598,0.82,15-9-F-15-C
3118.28,21.94,256.07,2938.42,-217.45,-699.229,434832.647,6477864.537,1.81,15-9-F-15-C
3158.54,22.35,256.2,2975.71,-232.184,-702.866,434817.918,6477860.902,0.31,15-9-F-15-C
3199.02,21.27,256.14,3013.29,-246.787,-706.461,434803.32,6477857.308,0.8,15-9-F-15-C
3211.78,20.98,255.56,3025.19,-251.246,-707.585,434798.862,6477856.185,0.84,15-9-F-15-C
3232,20.98,255.56,3044.07,-258.257,-709.39,434791.854,6477854.38,0,15-9-F-15-C
145.9,0,0,145.9,3.532,-3.169,435053.552,6478560.355,0,15-9-F-15-D
153.4,0.15,253.69,153.4,3.523,-3.172,435053.542,6478560.352,0.6,15-9-F-15-D
234.2,0.28,146.02,234.2,3.532,-3.365,435053.551,6478560.159,0.13,15-9-F-15-D
274.6,0.78,136.21,274.6,3.777,-3.646,435053.797,6478559.879,0.38,15-9-F-15-D
315,1.46,128.29,314.99,4.371,-4.163,435054.391,6478559.361,0.52,15-9-F-15-D
355.3,3.41,124.07,355.25,5.767,-5.153,435055.786,6478558.372,1.46,15-9-F-15-D
395.7,5.13,126.98,395.54,8.206,-6.912,435058.224,6478556.613,1.29,15-9-F-15-D
436.1,5.52,139.07,435.76,10.921,-9.467,435060.939,6478554.059,0.88,15-9-F-15-D
474.4,5.62,152.33,473.89,12.999,-12.52,435063.016,6478551.008,1.01,15-9-F-15-D
514.8,6.19,163.05,514.07,14.553,-16.355,435064.569,6478547.173,0.92,15-9-F-15-D
557.1,7.03,171.79,556.09,15.588,-21.099,435065.603,6478542.431,0.93,15-9-F-15-D
597.5,7.74,174.05,596.16,16.223,-26.252,435066.238,6478537.28,0.57,15-9-F-15-D
637.8,8.49,174.54,636.05,16.787,-31.912,435066.802,6478531.622,0.56,15-9-F-15-D
678.2,8.94,175.57,675.99,17.313,-38.011,435067.328,6478525.525,0.35,15-9-F-15-D
718.5,9.34,177.45,715.77,17.701,-44.4,435067.715,6478519.139,0.37,15-9-F-15-D
758.9,10.22,185.51,755.59,17.502,-51.243,435067.517,6478512.298,1.21,15-9-F-15-D
799.3,11.89,193.59,795.24,16.18,-58.857,435066.195,6478504.687,1.69,15-9-F-15-D
839.7,13.68,199.13,834.64,13.636,-67.417,435063.652,6478496.13,1.61,15-9-F-15-D
880,15.14,201.54,873.67,10.142,-76.815,435060.159,6478486.735,1.17,15-9-F-15-D
920.4,13.72,203.3,912.79,6.31,-86.123,435056.328,6478477.43,1.1,15-9-F-15-D
960.8,14.53,201.31,951.97,2.573,-95.245,435052.593,6478468.311,0.7,15-9-F-15-D
1001.1,16.51,200.62,990.8,-1.281,-105.315,435048.74,6478458.245,1.48,15-9-F-15-D
1041.6,16.33,201.19,1029.65,-5.366,-116.01,435044.657,6478447.554,0.18,15-9-F-15-D
1081.9,16.18,205.25,1068.34,-9.809,-126.371,435040.215,6478437.196,0.85,15-9-F-15-D
1122.3,17.54,211.88,1107.01,-15.426,-136.633,435034.6,6478426.938,1.75,15-9-F-15-D
1162.6,17.66,221.21,1145.43,-22.662,-146.39,435027.367,6478417.184,2.1,15-9-F-15-D
1203,16.05,230.28,1184.1,-30.997,-154.571,435019.035,6478409.006,2.29,15-9-F-15-D
1243.3,15.33,232.77,1222.9,-39.524,-161.354,435010.511,6478402.225,0.73,15-9-F-15-D
1283.8,18.17,237.03,1261.68,-49.087,-168.032,435000.951,6478395.55,2.29,15-9-F-15-D
1324.1,21.21,241.08,1299.62,-60.743,-174.978,434989.299,6478388.606,2.48,15-9-F-15-D
1364.5,24.71,243.03,1336.81,-74.67,-182.344,434975.377,6478381.242,2.66,15-9-F-15-D
1389.4,21.9,245.03,1359.68,-83.52,-186.666,434966.53,6478376.922,3.52,15-9-F-15-D
1409.8,21.44,249.87,1378.64,-90.47,-189.555,434959.583,6478374.034,2.71,15-9-F-15-D
1469.5,19.8,266.07,1434.56,-110.82,-194.007,434939.24,6478369.584,2.97,15-9-F-15-D
1510,18.51,273.32,1472.82,-124.084,-194.105,434925.981,6478369.486,2,15-9-F-15-D
1551,16.25,280.28,1511.95,-136.228,-192.704,434913.84,6478370.886,2.24,15-9-F-15-D
1591,15.05,294.29,1550.48,-146.472,-189.567,434903.599,6478374.022,2.97,15-9-F-15-D
1631.1,15.19,309.35,1589.21,-155.284,-184.093,434894.791,6478379.494,2.93,15-9-F-15-D
1672.1,15.54,316.07,1628.74,-163.248,-176.731,434886.829,6478386.854,1.33,15-9-F-15-D
1712.7,16.89,323.84,1667.73,-170.503,-168.051,434879.578,6478395.531,1.89,15-9-F-15-D
1753.2,18.95,335.44,1706.28,-176.71,-157.315,434873.372,6478406.263,3.05,15-9-F-15-D
1792.9,20.66,344.61,1743.64,-181.25,-144.696,434868.835,6478418.878,2.68,15-9-F-15-D
1833.5,22.98,351.87,1781.33,-184.272,-129.94,434865.813,6478433.628,2.63,15-9-F-15-D
1874,25.39,357.35,1818.28,-185.792,-113.436,434864.294,6478450.127,2.44,15-9-F-15-D
1914.8,27.17,2.38,1854.87,-185.81,-95.387,434864.276,6478468.169,2.1,15-9-F-15-D
1955.1,29.95,3.22,1890.26,-184.862,-76.146,434865.223,6478487.404,2.09,15-9-F-15-D
1995.5,30.21,3.94,1925.22,-183.597,-55.937,434866.487,6478507.605,0.33,15-9-F-15-D
2035.6,30.21,4.37,1959.87,-182.135,-35.813,434867.949,6478527.722,0.16,15-9-F-15-D
2075.6,30.2,4.6,1994.44,-180.562,-15.751,434869.522,6478547.778,0.09,15-9-F-15-D
2116,29.79,3.84,2029.43,-179.075,4.391,434871.008,6478567.912,0.42,15-9-F-15-D
2156.5,29.75,3.56,2064.59,-177.777,24.458,434872.306,6478587.972,0.11,15-9-F-15-D
2196.7,29.77,4.21,2099.48,-176.425,44.366,434873.657,6478607.873,0.24,15-9-F-15-D
2277.4,29.78,4.76,2169.53,-173.291,84.318,434876.79,6478647.812,0.1,15-9-F-15-D
2318.1,29.89,3.51,2204.84,-171.832,104.513,434878.249,6478667.999,0.47,15-9-F-15-D
2334.7,29.84,3.86,2219.23,-171.3,112.762,434878.78,6478676.245,0.33,15-9-F-15-D
2398.9,29.97,9.05,2274.89,-167.702,144.539,434882.377,6478708.012,1.21,15-9-F-15-D
2438.6,29.98,13.28,2309.29,-163.864,163.987,434886.214,6478727.453,1.6,15-9-F-15-D
2477.5,29.97,17.83,2342.99,-158.655,182.699,434891.421,6478746.158,1.75,15-9-F-15-D
2519.9,29.99,25.3,2379.73,-150.881,202.368,434899.192,6478765.82,2.64,15-9-F-15-D
2560.9,30.41,32.46,2415.17,-140.929,220.393,434909.141,6478783.84,2.65,15-9-F-15-D
2599.9,29.95,36.04,2448.89,-129.903,236.595,434920.163,6478800.036,1.43,15-9-F-15-D
2630.6,30.28,37.52,2475.45,-120.68,248.931,434929.383,6478812.367,0.79,15-9-F-15-D
2670.5,34.29,42.15,2509.18,-107.004,265.251,434943.055,6478828.682,3.54,15-9-F-15-D
2711.4,38.53,44.94,2542.09,-90.265,282.819,434959.787,6478846.244,3.34,15-9-F-15-D
2752.1,42,46.98,2573.14,-71.349,301.089,434978.697,6478864.507,2.74,15-9-F-15-D
2792.4,46.02,47.94,2602.12,-50.717,320.009,434999.321,6478883.421,3.03,15-9-F-15-D
2832.7,50.32,47.55,2628.99,-28.499,340.199,435021.532,6478903.604,3.21,15-9-F-15-D
2873.3,54.93,46.75,2653.63,-4.856,362.14,435045.166,6478925.537,3.44,15-9-F-15-D
2913.3,59.1,46.48,2675.4,19.521,385.183,435069.535,6478948.572,3.13,15-9-F-15-D
2953.6,62.83,48.54,2694.96,45.505,408.969,435095.51,6478972.349,3.08,15-9-F-15-D
2993.3,62.91,52.42,2713.07,72.753,431.446,435122.748,6478994.819,2.61,15-9-F-15-D
3033.8,62.98,56.67,2731.5,102.124,452.361,435152.109,6479015.726,2.8,15-9-F-15-D
3074.5,62.98,61.23,2749.99,133.174,471.055,435183.149,6479034.414,2.99,15-9-F-15-D
3114.7,63.5,66.91,2768.11,165.439,486.738,435215.402,6479050.091,3.8,15-9-F-15-D
3154.9,63.52,71.45,2786.04,199.056,499.521,435249.008,6479062.87,3.03,15-9-F-15-D
3195.2,63.59,75.71,2804,233.657,509.717,435283.596,6479073.063,2.84,15-9-F-15-D
3235.3,65.19,81.1,2821.34,269.063,516.97,435318.99,6479080.313,3.83,15-9-F-15-D
3275.1,66.93,85.66,2837.5,305.183,521.153,435355.098,6479084.494,3.4,15-9-F-15-D
3354.3,67.34,89.38,2868.28,378.075,524.306,435427.964,6479087.646,1.31,15-9-F-15-D
3395.5,68.96,92.97,2883.62,416.298,523.515,435466.174,6479086.856,2.7,15-9-F-15-D
3436.6,69.87,96.73,2898.07,454.626,520.259,435504.489,6479083.601,2.65,15-9-F-15-D
3477.6,71.37,101.82,2911.69,492.78,514.02,435542.629,6479077.364,3.68,15-9-F-15-D
3516.5,74.54,106.98,2923.09,528.78,504.762,435578.617,6479068.11,4.52,15-9-F-15-D
3556.8,73.24,107.38,2934.28,565.77,493.327,435615.593,6479056.678,1.01,15-9-F-15-D
3597.7,76.6,107.41,2944.92,603.45,481.522,435653.26,6479044.878,2.46,15-9-F-15-D
3637.6,78.44,107.46,2953.54,640.615,469.85,435690.413,6479033.21,1.38,15-9-F-15-D
3678.5,79.55,108.18,2961.35,678.836,457.564,435728.621,6479020.927,0.97,15-9-F-15-D
3718.3,78.51,106.58,2968.92,716.123,445.892,435765.894,6479009.26,1.42,15-9-F-15-D
3758.8,73.62,104.51,2978.67,753.977,435.354,435803.736,6478998.726,3.92,15-9-F-15-D
3798.6,68.99,105.01,2991.42,790.424,425.754,435840.169,6478989.129,3.51,15-9-F-15-D
3834.9,65.9,107.78,3005.35,822.579,416.303,435872.313,6478979.681,3.32,15-9-F-15-D
3878.4,65.99,109.35,3023.08,860.232,403.656,435909.954,6478967.039,0.99,15-9-F-15-D
3918.7,65.98,109.47,3039.48,894.952,391.423,435944.661,6478954.81,0.08,15-9-F-15-D
3959.1,68.18,111.6,3055.22,929.791,378.367,435979.488,6478941.758,2.19,15-9-F-15-D
3999.8,71.27,111.64,3069.32,965.279,364.302,436014.964,6478927.698,2.28,15-9-F-15-D
4041.1,74.92,112.17,3081.33,1001.934,349.561,436051.606,6478912.962,2.68,15-9-F-15-D
4081.4,74.89,111.29,3091.82,1038.079,335.155,436087.738,6478898.562,0.63,15-9-F-15-D
4121.4,75.02,109.65,3102.2,1074.267,321.647,436123.914,6478885.058,1.19,15-9-F-15-D
4161.6,76.92,109.69,3111.95,1110.99,308.52,436160.624,6478871.935,1.42,15-9-F-15-D
4174.2,77.15,109.31,3114.78,1122.565,304.421,436172.195,6478867.838,1.04,15-9-F-15-D
4202.3,78.85,108.76,3120.62,1148.547,295.457,436198.168,6478858.877,1.9,15-9-F-15-D
4242.1,79.01,107.19,3128.26,1185.698,283.404,436235.306,6478846.828,1.17,15-9-F-15-D
4282.7,78.9,106.62,3136.04,1223.824,271.817,436273.419,6478835.245,0.42,15-9-F-15-D
4322.7,78.97,106.47,3143.72,1261.455,260.638,436311.037,6478824.07,0.12,15-9-F-15-D
4362.4,77.5,106.91,3151.81,1298.683,249.476,436348.252,6478812.913,1.16,15-9-F-15-D
4403.7,75.94,107.23,3161.3,1337.107,237.678,436386.662,6478801.118,1.16,15-9-F-15-D
4443.4,78.75,107.82,3169.99,1374.04,226.014,436423.583,6478789.458,2.17,15-9-F-15-D
4483.8,79.04,108.06,3177.78,1411.756,213.803,436461.285,6478777.252,0.28,15-9-F-15-D
4524.2,77.65,107.51,3185.94,1449.431,201.717,436498.947,6478765.17,1.11,15-9-F-15-D
4564.9,80.05,107.84,3193.81,1487.475,189.594,436536.978,6478753.051,1.79,15-9-F-15-D
4605.4,82.04,108.48,3200.11,1525.486,177.125,436574.976,6478740.587,1.55,15-9-F-15-D
4645.7,82.04,108.37,3205.69,1563.352,164.511,436612.828,6478727.976,0.08,15-9-F-15-D
4671,79.48,107.27,3209.75,1587.123,156.868,436636.591,6478720.337,3.3,15-9-F-15-D
4685,79.48,107.27,3212.31,1600.267,152.782,436649.731,6478716.252,0,15-9-F-15-D
145.9,0,0,145.9,3.532,-3.169,435053.552,6478560.355,0,15-9-F-15
153.4,0.15,253.69,153.4,3.523,-3.172,435053.542,6478560.352,0.6,15-9-F-15
234.2,0.28,146.02,234.2,3.532,-3.365,435053.551,6478560.159,0.13,15-9-F-15
274.6,0.78,136.21,274.6,3.777,-3.646,435053.797,6478559.879,0.38,15-9-F-15
315,1.46,128.29,314.99,4.371,-4.163,435054.391,6478559.361,0.52,15-9-F-15
355.3,3.41,124.07,355.25,5.767,-5.153,435055.786,6478558.372,1.46,15-9-F-15
395.7,5.13,126.98,395.54,8.206,-6.912,435058.224,6478556.613,1.29,15-9-F-15
436.1,5.52,139.07,435.76,10.921,-9.467,435060.939,6478554.059,0.88,15-9-F-15
474.4,5.62,152.33,473.89,12.999,-12.52,435063.016,6478551.008,1.01,15-9-F-15
514.8,6.19,163.05,514.07,14.553,-16.355,435064.569,6478547.173,0.92,15-9-F-15
557.1,7.03,171.79,556.09,15.588,-21.099,435065.603,6478542.431,0.93,15-9-F-15
597.5,7.74,174.05,596.16,16.223,-26.252,435066.238,6478537.28,0.57,15-9-F-15
637.8,8.49,174.54,636.05,16.787,-31.912,435066.802,6478531.622,0.56,15-9-F-15
678.2,8.94,175.57,675.99,17.313,-38.011,435067.328,6478525.525,0.35,15-9-F-15
718.5,9.34,177.45,715.77,17.701,-44.4,435067.715,6478519.139,0.37,15-9-F-15
758.9,10.22,185.51,755.59,17.502,-51.243,435067.517,6478512.298,1.21,15-9-F-15
799.3,11.89,193.59,795.24,16.18,-58.857,435066.195,6478504.687,1.69,15-9-F-15
839.7,13.68,199.13,834.64,13.636,-67.417,435063.652,6478496.13,1.61,15-9-F-15
880,15.14,201.54,873.67,10.142,-76.815,435060.159,6478486.735,1.17,15-9-F-15
920.4,13.72,203.3,912.79,6.31,-86.123,435056.328,6478477.43,1.1,15-9-F-15
960.8,14.53,201.31,951.97,2.573,-95.245,435052.593,6478468.311,0.7,15-9-F-15
1001.1,16.51,200.62,990.8,-1.281,-105.315,435048.74,6478458.245,1.48,15-9-F-15
1041.6,16.33,201.19,1029.65,-5.366,-116.01,435044.657,6478447.554,0.18,15-9-F-15
1081.9,16.18,205.25,1068.34,-9.809,-126.371,435040.215,6478437.196,0.85,15-9-F-15
1122.3,17.54,211.88,1107.01,-15.426,-136.633,435034.6,6478426.938,1.75,15-9-F-15
1162.6,17.66,221.21,1145.43,-22.662,-146.39,435027.367,6478417.184,2.1,15-9-F-15
1203,16.05,230.28,1184.1,-30.997,-154.571,435019.035,6478409.006,2.29,15-9-F-15
1243.3,15.33,232.77,1222.9,-39.524,-161.354,435010.511,6478402.225,0.73,15-9-F-15
1283.8,18.17,237.03,1261.68,-49.087,-168.032,435000.951,6478395.55,2.29,15-9-F-15
1324.1,21.21,241.08,1299.62,-60.743,-174.978,434989.299,6478388.606,2.48,15-9-F-15
1364.5,24.71,243.03,1336.81,-74.67,-182.344,434975.377,6478381.242,2.66,15-9-F-15
1404.9,24.39,243.2,1373.56,-89.641,-189.935,434960.411,6478373.654,0.24,15-9-F-15
1445.2,26.03,238.06,1410.02,-104.575,-198.366,434945.483,6478365.226,2.04,15-9-F-15
1485.6,28.35,233.84,1445.96,-119.845,-208.718,434930.217,6478354.878,2.24,15-9-F-15
1525.9,28.46,236.92,1481.41,-135.617,-219.606,434914.451,6478343.994,1.09,15-9-F-15
1566.3,28.53,240.98,1516.92,-152.121,-229.541,434897.953,6478334.062,1.44,15-9-F-15
